Nome
Kenshô Ono
Mario Casas
Ana Wagener
Jose Coronado
Bárbara Lennie
Kim Min-hee
Jung-woo Ha
Cho Jin-woong
Moon So-Ri
Anne Dorval
Antoine Olivier Pilon
Suzanne Clément
Patrick Huard
Shahid Kapoor
Kay Kay Menon
Patrick Stewart
Dafne Keen
Boyd Holbrook
Brie Larson
Jacob Tremblay
Sean Bridgers
Wendy Crewson
Darío Grandinetti
María Marull
Mónica Villa
Diego Starosta
Kemp Powers
Tina Fey
Graham Norton
Haluk Bilginer
Melisa Sözen
Demet Akbag
Ayberk Pekcan
Anushka Sharma
Sanjay Dutt
Boman Irani
Mithun Chakraborty
Mahesh Manjrekar
Mathieu Amalric
Rosamund Pike
Neil Patrick Harris
Tyler Perry
Aoi Miyazaki
Takao Osawa
Haru Kuroki
Yukito Nishii
Andrew Garfield
Sam Worthington
Luke Bracey
Teresa Palmer
Ronnie Del Carmen
Amy Poehler
Bill Hader
Lewis Black
Ranbir Kapoor
Priyanka Chopra
Ileana D'Cruz
Saurabh Shukla
Chiwetel Ejiofor
Michael Kenneth Williams
Michael Fassbender
Daniel Brühl
Olivia Wilde
Jon Bernthal
Caitriona Balfe
Michael Keaton
Rachel McAdams
Liev Schreiber
David Rawle
Brendan Gleeson
Lisa Hannigan
Fionnula Flanagan
Vidya Balan
Parambrata Chattopadhyay
Indraneil Sengupta
Hrithik Roshan
Abhay Deol
Katrina Kaif
Jake Gyllenhaal
Viola Davis
Melissa Leo
Charlize Theron
Nicholas Hoult
Zoë Kravitz
Anupam Kher
Naseeruddin Shah
Jimmy Sheirgill
Aamir Bashir
Bee Vang
Christopher Carley
Ahney Her
Daniel Radcliffe
Emma Watson
Rupert Grint
Michael Gambon
Masahiro Motoki
Ryôko Hirosue
Tsutomu Yamazaki
Kazuko Yoshiyuki
Richard Gere
Joan Allen
Cary-Hiroyuki Tagawa
Sarah Roemer
Toni Collette
Philip Seymour Hoffman
Eric Bana
Barry Humphries
Chris Sanders
Jay Baruchel
Gerard Butler
Christopher Mintz-Plasse
Emile Hirsch
Vince Vaughn
Catherine Keener
Marcia Gay Harden
Joel Coen
Tommy Lee Jones
Javier Bardem
Josh Brolin
Arshad Warsi
Hilary Swank
Don Cheadle
Sophie Okonedo
Xolani Mali
Jang Dong-Gun
Won Bin
Eun-ju Lee
Hyeong-jin Kong
Ethan Hawke
Julie Delpy
Vernon Dobtcheff
Louise Lemoine Torrès
Gracy Singh
Sunil Dutt
Kim Sang-kyung
Roe-ha Kim
Jae-ho Song
Saif Ali Khan
Akshaye Khanna
Preity Zinta
David Carradine
Daryl Hannah
Lee Unkrich
Ellen DeGeneres
Alexander Gould
Christopher Walken
Emilio Echevarría
Goya Toledo
Álvaro Guerrero
David Silverman
Billy Crystal
John Goodman
Kazuya Tsurumaki
Megumi Ogata
Megumi Hayashibara
Yûko Miyamura
Raghuvir Yadav
Rachel Shelley
Haley Joel Osment
Olivia Williams
Pruitt Taylor Vince
Mélanie Thierry
Bill Nunn
Laura Linney
Noah Emmerich
Bajram Severdzan
Srdjan 'Zika' Todorovic
Branka Katic
Florijan Ajdini
Ethan Coen
Jeff Bridges
Julianne Moore
Tony Chiu-Wai Leung
Maggie Cheung
Ping Lam Siu
Tung Cho 'Joe' Cheung
Ewan McGregor
Ewen Bremner
Jonny Lee Miller
Kevin McKidd
William H. Macy
Steve Buscemi
Predrag 'Miki' Manojlovic
Lazar Ristovski
Mirjana Jokovic
Slavko Stimac
Vincent Cassel
Hubert Koundé
Saïd Taghmaoui
Abdel Ahmed Ghili
Kajol
Amrish Puri
Farida Jalal
Andrea Eckert
Hanno Pöschl
Irène Jacob
Jean-Louis Trintignant
Frédérique Feder
Jean-Pierre Lorit
Brigitte Lin
Takeshi Kaneshiro
Faye Wong
Sam Neill
Laura Dern
Jeff Goldblum
Pete Postlethwaite
Alison Crosbie
Philip King
Leslie Cheung
Fengyi Zhang
Gong Li
You Ge
Jingwu Ma
Saifei He
Cuifen Cao
Robert Sean Leonard
Josh Charles
Wil Wheaton
River Phoenix
Corey Feldman
Jerry O'Connell
Charlie Sheen
Tom Berenger
Willem Dafoe
Keith David
Harry Dean Stanton
Nastassja Kinski
Dean Stockwell
Aurore Clément
Sumi Shimamoto
Mahito Tsujimura
Hisako Kyôda
Gorô Naya
Kurt Russell
Wilford Brimley
Richard Masur
Bob Geldof
Christine Hargreaves
James Laurenson
Eleanor David
Klaus Kinski
José Lewgoy
Miguel Ángel Fuentes
Bertil Guve
Pernilla Allwin
Kristina Adolphson
Börje Ahlstedt
Rutger Hauer
Sean Young
Edward James Olmos
Anne Bancroft
John Gielgud
Michael Palin
Terry Gilliam
John Cazale
John Savage
Sylvester Stallone
Talia Shire
Burt Young
Carl Weathers
Faye Dunaway
Peter Finch
Ryan O'Neal
Marisa Berenson
Hardy Krüger
Margarita Terekhova
Filipp Yankovskiy
Ignat Daniltsev
Oleg Yankovskiy
John Huston
Perry Lopez
Tatum O'Neal
Madeline Kahn
John Hillerman
Harriet Andersson
Kari Sylwan
Natalya Bondarchuk
Donatas Banionis
Jüri Järvet
Vladislav Dvorzhetskiy
Alain Delon
François Périer
Nathalie Delon
Cathy Rosier
George Kennedy
Strother Martin
J.D. Cannon
Margaretha Krook
Ivan Lapikov
Nikolay Sergeev
Brahim Hadjadj
Jean Martin
Yacef Saadi
Samia Kerbash
Silvia Pinal
Jacqueline Andere
Enrique Rambal
José Baviera
Joan Crawford
Victor Buono
Wesley Addy
Keiju Kobayashi
Yûnosuke Itô
John Wayne
Lee Marvin
Eduard Abalov
Nikolay Burlyaev
Valentin Zubkov
Evgeniy Zharikov
Birgitta Valberg
Gunnel Lindblom
Birgitta Pettersson
Fredric March
Dick York
Jean-Pierre Léaud
Albert Rémy
Claire Maurier
Guy Decomble
Charlton Heston
Stephen Boyd
Haya Harareet
Misa Uehara
Minoru Chiaki
Kamatari Fujiwara
Giulietta Masina
Franca Marzi
Dorian Gray
Isuzu Yamada
Sessue Hayakawa
Karl Malden
Rod Steiger
Yves Montand
Charles Vanel
Peter van Eyck
Folco Lulli
Jan Sterling
Robert Arthur
Porter Hall
James Cagney
Virginia Mayo
Edmond O'Brien
Margaret Wycherly
Alida Valli
Trevor Howard
Emeric Pressburger
Anton Walbrook
Marius Goring
Moira Shearer
Margaret Sullavan
Frank Morgan
Joseph Schildkraut
Laurence Olivier
Joan Fontaine
Judith Anderson
Jean Arthur
Edward Arnold
George Cukor
Sam Wood
Clark Gable
Vivien Leigh
Jean Gabin
Dita Parlo
Pierre Fresnay
Claudette Colbert
Walter Connolly
Roscoe Karns
Maria Falconetti
Eugene Silvain
André Berley
Maurice Schutz
Merna Kennedy
Al Ernest Garcia
Harry Crocker
George O'Brien
Janet Gaynor
Margaret Livingston
Bodil Rosing
Marion Mack
Glen Cavender
Werner Krauss
Conrad Veidt
Friedrich Feher
Lil Dagover
Neena Gupta
Gajraj Rao
Julianne Nicholson
Christopher Heyerdahl
Richard Dormer
Nimrat Kaur
Kumud Mishra
Prakash Belawadi
Harshaali Malhotra
Kareena Kapoor
Danny Denzongpa
Ryan Gosling
Emma Stone
Rosemarie DeWitt
Dev Patel
Nicole Kidman
Rooney Mara
Sunny Pawar
Kristen Wiig
Kate Mara
Rich Moore
Jared Bush
Ginnifer Goodwin
Jason Bateman
Ramya Krishnan
Sathyaraj
Chloë Grace Moretz
Mary Steenburgen
James Marsden
Owen Wilson
Izabela Vidovic
Julia Roberts
Vijay Varma
Nakul Roshan Sahdev
Ranveer Singh
Vijay Raaz
Frantz Turner
John Gallagher Jr.
Kaitlyn Dever
Iko Uwais
Yayan Ruhian
Arifin Putra
Oka Antara
Benedict Cumberbatch
Keira Knightley
Matthew Goode
Allen Leech
Chris Pratt
Vin Diesel
Bradley Cooper
Zoe Saldana
Ana de Armas
Dave Bautista
Amy Adams
Rami Malek
Lucy Boynton
Gwilym Lee
Ben Hardy
Will Poulter
Domhnall Gleeson
Logan Lerman
Ezra Miller
Paul Rudd
Wagner Moura
Irandhir Santos
André Ramiro
Milhem Cortaz
Geoffrey Rush
Helena Bonham Carter
Derek Jacobi
Octavia Spencer
Bryce Dallas Howard
Ryan Reynolds
Morena Baccarin
T.J. Miller
Ed Skrein
Golshifteh Farahani
Taraneh Alidoosti
Merila Zare'i
Kalki Koechlin
Dibyendu Bhattacharya
Donnie Yen
Simon Yam
Siu-Wong Fan
Ka Tung Lam
Sheetal Menon
Katie A. Keane
Mete Horozoglu
Ilker Kizmaz
Baris Bagci
Loveleen Tandan
Freida Pinto
Mila Kunis
Winona Ryder
Caio Junqueira
Jeremy Renner
Marjane Satrapi
Chiara Mastroianni
Catherine Deneuve
Gena Rowlands
Jennifer Garner
Steve Zahn
Will Smith
Thandie Newton
Jaden Smith
Brian Howe
Djimon Hounsou
Kagiso Kuypers
Edgar Ramírez
Julia Stiles
Seung-Yun Lee
Hee Jae
Hyuk-ho Kwon
Jin-mo Joo
Quentin Tarantino
Robert Rodriguez
Mickey Rourke
Clive Owen
Laura Obiols
Emmanuelle Seigner
Marie-Josée Croze
Cem Yilmaz
Özge Özberk
Ozan Güven
Safak Sezer
Jan Pinkava
Brad Garrett
Lou Romano
Patton Oswalt
Daniel Craig
Eva Green
Judi Dench
Jeffrey Wright
Vladimir Garin
Ivan Dobronravov
Konstantin Lavronenko
Nataliya Vdovina
Ki-duk Kim
Yeong-su Oh
Jong-ho Kim
Kim Young-Min
Belén Rueda
Lola Dueñas
Mabel Rivera
Renée Zellweger
Craig Bierko
Paul Giamatti
Jaya Bachchan
Alan Mak
Andy Lau
Anthony Chau-Sang Wong
Johnny Depp
Albert Finney
Jessica Lange
Craig T. Nelson
Holly Hunter
Jason Lee
Tae-Hyun Cha
Jun Ji-Hyun
In-mun Kim
Song Wok-suk
Paul Bettany
Lauren Bacall
Ömer Faruk Sorak
Yilmaz Erdogan
Altan Erkekli
Jena Malone
Mary McDonnell
Holmes Osborne
Tom Cruise
Björk
Peter Stormare
Richard Farnsworth
Sissy Spacek
Jane Galloway Heitz
Joseph A. Carpenter
Junko Iwao
Rica Matsumoto
Shinpachi Tsuji
Masaaki Ôkura
Ulrich Thomsen
Henning Moritzen
Paprika Steen
Fernanda Montenegro
Vinícius de Oliveira
Marília Pêra
Soia Lira
Eli Marienthal
Harry Connick Jr.
Jennifer Aniston
Til Schweiger
Jan Josef Liefers
Thierry van Werveke
Moritz Bleibtreu
Billy Bob Thornton
Dwight Yoakam
J.T. Walsh
John Ritter
Timothy Spall
Brenda Blethyn
Phyllis Logan
Claire Rushbrook
Madeleine Stowe
Joseph Melito
Atsuko Tanaka
Iemasa Kayumi
Akio Ôtsuka
Kôichi Yamadera
Danny Elfman
Chris Sarandon
Catherine O'Hara
William Hickey
Bill Murray
Andie MacDowell
Chris Elliott
Stephen Tobolowsky
Damian Chapa
Jesse Borrego
Enrique Castillo
Chris O'Donnell
James Rebhorn
Gabrielle Anwar
John Musker
Scott Weinger
Linda Larkin
Kevin Costner
Walter Matthau
Kirk Wise
Paige O'Hara
Robby Benson
Jesse Corti
Graham Greene
Rodney A. Grant
Ossie Davis
Ruby Dee
Richard Edson
Dustin Hoffman
Gerald R. Molen
Mitsuo Iwata
Nozomu Sasaki
Mami Koyama
Tesshô Genda
Cary Elwes
Mandy Patinkin
Solveig Dommartin
Otto Sander
Curt Bois
Gaspard Manesse
Raphael Fejtö
Francine Racette
Stanislas Carré de Malberg
Mayumi Tanaka
Keiko Yokozawa
Kotoe Hatsui
Minori Terada
Paul Winfield
Rohini Hattangadi
Roshan Seth
Ken'ichi Hagiwara
Melvyn Douglas
Jack Warden
Woody Allen
Tony Roberts
Carol Kane
Roy Scheider
Richard Dreyfuss
Lorraine Gary
Penelope Allen
Sully Boyar
Gene Wilder
Marty Feldman
Peter Boyle
Victor Jory
Don Gordon
Linda Blair
Alec Cawthorne
John Matthews
Timothy Bottoms
Ben Johnson
Topol
Norma Crane
Leonard Frey
Molly Picon
Stefania Sandrelli
Gastone Moschin
Enzo Tarascio
Katharine Ross
Mia Farrow
John Cassavetes
Ruth Gordon
Sidney Blackmer
Roddy McDowall
Kim Hunter
Maurice Evans
William Daniels
Elizabeth Taylor
Richard Burton
George Segal
Sandy Dennis
Julie Andrews
Eleanor Parker
Richard Haydn
Omar Sharif
Julie Christie
Geraldine Chaplin
Marianne Koch
Wolfgang Lukschy
Marcello Mastroianni
Anouk Aimée
Sandra Milo
Anna Karina
Sady Rebbot
André S. Labarthe
Guylaine Schlumberger
Jackie Gleason
Piper Laurie
Anita Ekberg
Yvonne Furneaux
Dean Martin
Ricky Nelson
Angie Dickinson
Lee Remick
Ben Gazzara
Arthur O'Connell
Joseph Calleia
Burl Ives
Jack Carson
Susan Harrison
Martin Milner
Coleen Gray
Vince Edwards
Jay C. Flippen
Robert Mitchum
Shelley Winters
Lillian Gish
James Gleason
Richard Basehart
Aldo Silvani
Simone Signoret
Véra Clouzot
Paul Meurisse
Don Taylor
Otto Preminger
Robert Strauss
Audrey Hepburn
Eddie Albert
Hartley Power
Gloria Grahame
Frank Lovejoy
Carl Benton Reid
Dennis Price
Valerie Hobson
Joan Greenwood
John Dall
Farley Granger
Dick Hogan
Jane Greer
Rhonda Fleming
Celia Johnson
Stanley Holloway
Joyce Carey
Gene Tierney
Dana Andrews
Clifton Webb
Vincent Price
Myrna Loy
Teresa Wright
Priscilla Lane
Raymond Massey
Mary Astor
Gladys George
Jane Darwell
John Carradine
Charley Grapewin
Mervyn LeRoy
Norman Taurog
Richard Thorpe
Marcel Dalio
Nora Gregor
Paulette Dubost
Mila Parély
William Powell
Maureen O'Sullivan
Nat Pendleton
Lew Ayres
Louis Wolheim
John Wray
Arnold Lucy
Aleksandr Antonov
Vladimir Barskiy
Grigoriy Aleksandrov
Ivan Bobrov
Jamie Lee Curtis
Sanjana Sanghi
Sahil Vaid
Saswata Chatterjee
Lily Franky
Sakura Andô
Kirin Kiki
Mayu Matsuoka
Adam Driver
Julia Greer
Azhy Robertson
Armie Hammer
Timothée Chalamet
Michael Stuhlbarg
Amira Casar
Dave Johns
Hayley Squires
Sharon Percy
Bryan Cranston
Koyu Rankin
Bob Balaban
Julian Dennison
Rima Te Wiata
Rachel House
Samantha Isler
Annalise Basso
Ferdia Walsh-Peelo
Aidan Gillen
Maria Doyle Kennedy
Jack Reynor
Tom Hiddleston
Cate Blanchett
Rene Russo
Bill Paxton
Riz Ahmed
Roman Griffin Davis
Thomasin McKenzie
Taika Waititi
Forest Whitaker
Daisy Ridley
John Boyega
Oscar Isaac
Seamus Davey-Fitzpatrick
Ariane Labed
James McAvoy
Muhammet Uzuner
Taner Birsel
Ahmet Mümtaz Taylan
Jean Dujardin
Bérénice Bejo
James Cromwell
Emily Blunt
Emmanuelle Riva
Isabelle Huppert
Alexandre Tharaud
Tahar Rahim
Niels Arestrup
Adel Bencherif
Reda Kateb
Dominique McElligott
Rosie Shaw
Kåre Hedebrant
Lina Leandersson
Per Ragnar
Henrik Dahl
Sharlto Copley
David James
